State,EPA Region,County,FIPS,Tract,Population,"1,3-Butadiene",Acetaldehyde,Aniline,Benzene,Ethylene Oxide,Formaldehyde,Naphthalene
NY,EPA Region 2,Bronx,36005,36005014300,1003,3.585629279,2.762557109,0,7.564502201,0.275832319,21.48507718,2.999943151
NY,EPA Region 2,Bronx,36005,36005014400,5880,3.020787935,2.581329825,0,6.866986904,0.515407903,19.87525796,2.627547324
NY,EPA Region 2,Bronx,36005,36005014500,5816,3.349868317,2.686687835,0,7.576994646,0.475478681,21.12975633,2.955150242
NY,EPA Region 2,Bronx,36005,36005014701,6461,3.223488985,2.66042853,0,7.405594086,0.440402785,20.87115719,2.883186333
NY,EPA Region 2,Bronx,36005,36005014702,5110,3.280647999,2.677472317,0,7.568352409,0.43889994,21.01834547,2.955398858
NY,EPA Region 2,Bronx,36005,36005014900,4591,3.273882673,2.651489326,0,7.43520955,0.464855413,20.75088044,2.828889163
NY,EPA Region 2,Bronx,36005,36005015100,5409,3.182821685,2.628727964,0,7.243150068,0.476456056,20.56162658,2.767991005
NY,EPA Region 2,Bronx,36005,36005015200,2341,3.342532133,2.631143719,0,7.33310197,0.50699941,20.22536435,2.787444734
NY,EPA Region 2,Bronx,36005,36005015300,4031,3.196424066,2.634097004,0,7.281309904,0.497875377,20.55756713,2.816080034
NY,EPA Region 2,Bronx,36005,36005015500,3005,3.23062326,2.639633047,0,7.319977828,0.487866884,20.55975402,2.829579185
NY,EPA Region 2,Bronx,36005,36005015700,3580,3.1193239,2.613698087,0,7.065600237,0.492766865,20.43067653,2.749423913
NY,EPA Region 2,Bronx,36005,36005015800,1206,2.938651161,2.559266772,0,6.676674055,0.496774452,19.67671903,2.57732905
NY,EPA Region 2,Bronx,36005,36005015900,2164,3.527004397,2.703088941,0,7.348834554,0.299875838,21.05245995,2.783009742
NY,EPA Region 2,Bronx,36005,36005016000,3767,3.135455077,2.588541574,0,6.904055847,0.488764831,19.80639134,2.666126749
NY,EPA Region 2,Bronx,36005,36005016100,4380,3.427181807,2.67085657,0,7.630511758,0.485962946,20.79518924,2.907971966
NY,EPA Region 2,Bronx,36005,36005016200,1769,3.272055294,2.620764211,0,7.250098253,0.498185621,20.11135317,2.766692988
NY,EPA Region 2,Bronx,36005,36005016400,1141,3.270405436,2.621963263,0,7.270833531,0.503607936,20.11880067,2.764623829
NY,EPA Region 2,Bronx,36005,36005016500,1077,3.553258844,2.716020889,0,7.869688881,0.471535825,21.18646196,3.090031037
NY,EPA Region 2,Bronx,36005,36005016600,2166,3.221742963,2.606637484,0,7.067623735,0.503709837,20.049,2.724095544
NY,EPA Region 2,Bronx,36005,36005016700,2047,3.232623993,2.660491954,0,7.405885046,0.478272331,20.81559027,2.899626714
NY,EPA Region 2,Bronx,36005,36005016900,1663,3.294667839,2.669054503,0,7.561080385,0.486771272,20.91989527,2.921527858
NY,EPA Region 2,Bronx,36005,36005017300,5987,3.633601133,2.77903535,0,7.775900047,0.302249109,21.70345097,3.041241162
NY,EPA Region 2,Bronx,36005,36005017500,6911,3.590807852,2.76475224,0,7.843261419,0.380431376,21.71907293,3.10978748
NY,EPA Region 2,Bronx,36005,36005017701,4294,3.428673672,2.72529555,0,7.842202442,0.46813106,21.49315813,3.126389677
NY,EPA Region 2,Bronx,36005,36005017702,4805,3.315618837,2.702840781,0,7.660235657,0.440471649,21.32078283,3.055395961
NY,EPA Region 2,Bronx,36005,36005017901,4677,3.464084958,2.745885369,0,7.980915047,0.463566423,21.71548049,3.220874142
